code,code1,code2,code3,label,slug
H1503,H,15,03,Intervention technique en laboratoire d'analyse industrielle,intervention-technique-en-laboratoire-d-analyse-industrielle
H1504,H,15,04,Intervention technique en contrôle essai qualité en électricité et électronique,intervention-technique-en-controle-essai-qualite-en-electricite-et-electronique
H1505,H,15,05,Intervention technique en formulation et analyse sensorielle,intervention-technique-en-formulation-et-analyse-sensorielle
H1506,H,15,06,Intervention technique qualité en mécanique et travail des métaux,intervention-technique-qualite-en-mecanique-et-travail-des-metaux
H2101,H,21,01,Abattage et découpe des viandes,abattage-et-decoupe-des-viandes
H2102,H,21,02,Conduite d'équipement de production alimentaire,conduite-d-equipement-de-production-alimentaire
H2201,H,22,01,Assemblage d'ouvrages en bois,assemblage-d-ouvrages-en-bois
H2202,H,22,02,Conduite d'équipement de fabrication de l'ameublement et du bois,conduite-d-equipement-de-fabrication-de-l-ameublement-et-du-bois
H2203,H,22,03,Conduite d'installation de production de panneaux bois,conduite-d-installation-de-production-de-panneaux-bois
H2204,H,22,04,Encadrement des industries de l'ameublement et du bois,encadrement-des-industries-de-l-ameublement-et-du-bois
H2205,H,22,05,Première transformation de bois d'oeuvre,premiere-transformation-de-bois-d-oeuvre
H2206,H,22,06,Réalisation de menuiserie bois et tonnellerie,realisation-de-menuiserie-bois-et-tonnellerie
H2207,H,22,07,Réalisation de meubles en bois,realisation-de-meubles-en-bois
H2208,H,22,08,Réalisation d'ouvrages décoratifs en bois,realisation-d-ouvrages-decoratifs-en-bois
H2209,H,22,09,Intervention technique en ameublement et bois,intervention-technique-en-ameublement-et-bois
H2301,H,23,01,Conduite d'équipement de production chimique ou pharmaceutique,conduite-d-equipement-de-production-chimique-ou-pharmaceutique
H2401,H,24,01,"Assemblage - montage d'articles en cuirs, peaux",assemblage-montage-d-articles-en-cuirs-peaux
H2402,H,24,02,Assemblage - montage de vêtements et produits textiles,assemblage-montage-de-vetements-et-produits-textiles
H2403,H,24,03,Conduite de machine de fabrication de produits textiles,conduite-de-machine-de-fabrication-de-produits-textiles
H2404,H,24,04,Conduite de machine de production et transformation des fils,conduite-de-machine-de-production-et-transformation-des-fils
H2405,H,24,05,Conduite de machine de textiles nontissés,conduite-de-machine-de-textiles-nontisses
H2406,H,24,06,Conduite de machine de traitement textile,conduite-de-machine-de-traitement-textile
H2407,H,24,07,Conduite de machine de transformation et de finition des cuirs et peaux,conduite-de-machine-de-transformation-et-de-finition-des-cuirs-et-peaux
H2408,H,24,08,Conduite de machine d'impression textile,conduite-de-machine-d-impression-textile
H2409,H,24,09,"Coupe cuir, textile et matériaux souples",coupe-cuir-textile-et-materiaux-souples
H2410,H,24,10,"Mise en forme, repassage et finitions en industrie textile",mise-en-forme-repassage-et-finitions-en-industrie-textile
H2411,H,24,11,Montage de prototype cuir et matériaux souples,montage-de-prototype-cuir-et-materiaux-souples
H2412,H,24,12,Patronnage - gradation,patronnage-gradation
H2413,H,24,13,"Préparation de fils, montage de métiers textiles",preparation-de-fils-montage-de-metiers-textiles
H2414,H,24,14,Préparation et finition d'articles en cuir et matériaux souples,preparation-et-finition-d-articles-en-cuir-et-materiaux-souples
H2415,H,24,15,Contrôle en industrie du cuir et du textile,controle-en-industrie-du-cuir-et-du-textile
H2501,H,25,01,Encadrement de production de matériel électrique et électronique,encadrement-de-production-de-materiel-electrique-et-electronique
H2502,H,25,02,Management et ingénierie de production,management-et-ingenierie-de-production
H2503,H,25,03,Pilotage d'unité élémentaire de production mécanique ou de travail des métaux,pilotage-d-unite-elementaire-de-production-mecanique-ou-de-travail-des-metaux
H2504,H,25,04,Encadrement d'équipe en industrie de transformation,encadrement-d-equipe-en-industrie-de-transformation
H2505,H,25,05,Encadrement d'équipe ou d'atelier en matériaux souples,encadrement-d-equipe-ou-d-atelier-en-materiaux-souples
H2601,H,26,01,Bobinage électrique,bobinage-electrique
H2602,H,26,02,Câblage électrique et électromécanique,cablage-electrique-et-electromecanique
H2603,H,26,03,"Conduite d'installation automatisée de production électrique, électronique et microélectronique",conduite-d-installation-automatisee-de-production-electrique-electronique-et-microelectronique
H2604,H,26,04,Montage de produits électriques et électroniques,montage-de-produits-electriques-et-electroniques
H2605,H,26,05,Montage et câblage électronique,montage-et-cablage-electronique
H2701,H,27,01,Pilotage d'installation énergétique et pétrochimique,pilotage-d-installation-energetique-et-petrochimique
H2801,H,28,01,Conduite d'équipement de transformation du verre,conduite-d-equipement-de-transformation-du-verre
H2802,H,28,02,Conduite d'installation de production de matériaux de construction,conduite-d-installation-de-production-de-materiaux-de-construction
H2803,H,28,03,Façonnage et émaillage en industrie céramique,faconnage-et-emaillage-en-industrie-ceramique
H2804,H,28,04,"Pilotage de centrale à béton prêt à l'emploi, ciment, enrobés et granulats",pilotage-de-centrale-a-beton-pret-a-l-emploi-ciment-enrobes-et-granulats
H2805,H,28,05,Pilotage d'installation de production verrière,pilotage-d-installation-de-production-verriere
H2901,H,29,01,Ajustement et montage de fabrication,ajustement-et-montage-de-fabrication
H2902,H,29,02,Chaudronnerie - tôlerie,chaudronnerie-tolerie
H2903,H,29,03,Conduite d'équipement d'usinage,conduite-d-equipement-d-usinage
H2904,H,29,04,Conduite d'équipement de déformation des métaux,conduite-d-equipement-de-deformation-des-metaux
H2905,H,29,05,Conduite d'équipement de formage et découpage des matériaux,conduite-d-equipement-de-formage-et-decoupage-des-materiaux
H2906,H,29,06,Conduite d'installation automatisée ou robotisée de fabrication mécanique,conduite-d-installation-automatisee-ou-robotisee-de-fabrication-mecanique
